City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
382,sabzevar,0,IR,1517977626,74,36.21,57.68,27.21,4.05
383,general pico,48,AR,1517977244,70,-35.66,-63.75,79.68,2.48
384,adrar,0,DZ,1517976000,41,27.87,-0.29,41.0,6.93
385,ereymentau,88,KZ,1517977626,84,51.62,73.1,5.02,6.96
386,itarema,92,BR,1517977627,100,-2.92,-39.92,76.44,3.94
387,denpasar,20,ID,1517974200,74,-8.65,115.22,84.2,12.75
388,knin,75,HR,1517976000,93,44.04,16.2,51.8,10.29
389,nishihara,20,JP,1517974200,33,35.74,139.53,44.6,8.05
390,vila franca do campo,75,PT,1517976000,58,37.72,-25.43,55.4,8.05
391,songea,92,TZ,1517977628,100,-10.68,35.65,66.67,2.48
392,sao sebastiao,44,BR,1517977628,82,-3.15,-58.36,79.14,2.71
393,mount barker,0,AU,1517976000,21,-35.06,138.86,91.4,8.05
394,saint-joseph,90,FR,1517976000,87,43.56,6.97,44.6,3.36
395,la ferte-bernard,75,FR,1517976000,95,48.19,0.65,32.0,5.82
396,dallas,90,US,1517975820,96,32.78,-96.8,33.8,14.99
397,mitchell,40,US,1517975580,72,43.71,-98.03,10.4,4.7
398,novyy urengoy,76,RU,1517977630,75,66.08,76.63,6.06,21.16
399,isangel,75,VU,1517972400,94,-19.55,169.27,78.8,14.56
400,langham,20,CA,1517976000,75,52.36,-106.96,-13.01,9.17
401,reconquista,80,AR,1517977631,46,-29.14,-59.64,85.53,12.1
402,ulaangom,0,MN,1517977631,50,49.98,92.07,-21.13,0.69
403,great falls,20,US,1517975880,91,47.5,-111.29,3.2,3.04
404,peace river,75,CA,1517976000,75,56.23,-117.29,-13.01,5.82
405,codrington,80,AU,1517977193,74,-28.95,153.24,72.07,7.4
406,sanary-sur-mer,0,FR,1517976000,86,43.12,5.8,41.0,4.7
407,abu samrah,0,SY,1517977328,84,35.3,37.18,38.46,2.37
408,butajira,0,ET,1517977632,64,8.12,38.38,27.88,2.15
409,kavieng,68,PG,1517977234,100,-2.57,150.8,84.81,11.43
410,storm lake,90,US,1517976900,77,42.64,-95.21,8.6,9.17
411,rassvet,90,MD,1517976000,92,47.2,28.43,32.0,5.82
412,carstairs,75,CA,1517976000,65,51.56,-114.1,6.8,8.05
413,mackenzie,90,CA,1517976000,77,55.34,-123.09,-2.21,2.24
414,qandala,0,SO,1517977252,100,11.47,49.87,47.46,3.6
415,osakarovka,76,KZ,1517977633,83,50.56,72.58,5.11,7.63
416,pinega,56,RU,1517977634,86,64.7,43.39,9.25,5.61
417,narovchat,88,RU,1517977634,88,53.88,43.7,13.57,12.55
418,parakai,92,NZ,1517976000,60,-36.66,174.44,73.4,18.34
419,emporia,90,US,1517975580,66,38.4,-96.18,15.8,6.93
420,yerbogachen,64,RU,1517977635,54,61.28,108.01,-5.51,7.18
421,rocky mountain house,36,CA,1517977635,79,52.38,-114.92,1.29,3.49
422,chinacota,40,CO,1517976000,78,7.61,-72.6,77.0,2.24
423,muncar,44,ID,1517977635,97,-8.43,114.34,79.9,3.71
424,a coruna,0,ES,1517976000,86,43.37,-8.4,39.2,1.12
425,dingle,0,PH,1517977298,66,11.0,122.67,83.68,13.56
426,pangnirtung,44,CA,1517977245,56,66.15,-65.72,-19.91,12.66
427,boende,48,CD,1517977636,87,-0.28,20.88,76.93,2.15
428,alofi,40,NU,1517972400,66,-19.06,-169.92,84.2,12.75
429,hurricane,1,US,1517975760,25,37.18,-113.29,51.8,12.75
430,caorle,75,IT,1517976000,100,45.6,12.88,41.0,20.04
431,brufut,0,GM,1517976000,40,13.38,-16.75,71.6,11.41
432,mehamn,0,NO,1517975400,73,71.03,27.85,19.4,29.97
433,vilyuysk,56,RU,1517977637,71,63.75,121.63,-24.14,7.74
434,nevsehir,0,TR,1517975400,92,38.62,34.71,30.2,5.82
435,antalaha,92,MG,1517977301,100,-14.9,50.28,74.95,3.38
436,lac-megantic,1,CA,1517976900,85,45.58,-70.88,10.4,7.4
437,olinda,90,EC,1517976000,94,-2.03,-79.75,75.2,2.93
438,teguldet,64,RU,1517977638,87,57.31,88.17,2.41,5.39
439,sayansk,64,RU,1517977638,64,54.11,102.18,-0.92,9.08
440,sumbe,92,AO,1517977639,100,-11.2,13.84,78.28,1.59
441,porrentruy,90,CH,1517976000,93,47.42,7.08,33.8,3.36
442,acari,0,BR,1517977640,81,-6.44,-36.64,73.56,9.19
443,honggang,44,CN,1517977640,33,29.51,114.87,46.15,3.15
444,pechenga,0,RU,1517977640,80,58.89,41.46,4.26,11.1
445,sisimiut,92,GL,1517977641,77,66.94,-53.67,9.61,1.7
446,saint anthony,1,US,1517975760,74,43.97,-111.68,35.6,16.11
447,zeya,0,RU,1517977641,55,53.74,127.27,-12.17,0.13
448,chapais,1,CA,1517976000,75,49.78,-74.86,-20.21,4.7
449,pitiquito,0,MX,1517977642,32,30.68,-112.05,57.81,4.05
450,atar,48,MR,1517977107,53,20.52,-13.05,49.98,6.96
451,descalvado,12,BR,1517977642,83,-21.91,-47.62,68.61,7.74
452,nemuro,20,JP,1517972400,53,43.32,145.57,23.0,26.53
453,kafanchan,0,NG,1517977642,26,9.58,8.3,64.51,6.96
454,mataram,44,ID,1517977642,87,-5.32,105.06,79.86,2.71
455,dera bugti,0,PK,1517977643,67,29.03,69.15,45.97,3.94
456,zhenhai,56,CN,1517972400,44,29.95,121.71,41.0,6.71
457,ust-ilimsk,56,RU,1517977643,63,57.96,102.73,3.18,10.2
458,san pedro,20,AR,1517977645,63,-33.68,-59.66,77.88,9.42
459,jumla,80,NP,1517977645,72,29.28,82.18,23.88,1.7
460,honiara,40,SB,1517976000,55,-9.43,159.96,91.4,13.87
461,lavrentiya,92,RU,1517977246,100,65.58,-170.99,23.47,20.83
462,flin flon,36,CA,1517977241,60,54.77,-101.88,-2.77,9.53
463,cao bang,80,VN,1517977646,49,22.67,106.25,46.78,3.6
464,sitka,48,US,1517977646,64,37.17,-99.65,23.61,3.04
465,lompoc,1,US,1517975880,87,34.64,-120.46,55.4,3.15
466,wembley,76,GB,1517975400,80,51.55,-0.3,33.8,5.82
467,jacqueville,12,CI,1517976000,88,5.21,-4.42,82.4,8.05
468,axim,8,GH,1517977647,100,4.87,-2.24,80.35,8.97
469,rabo de peixe,75,PT,1517976000,58,37.8,-25.58,55.4,8.05
470,ranong,20,TH,1517972400,65,9.96,98.62,82.4,5.82
471,tabou,64,CI,1517977647,100,4.42,-7.36,80.17,10.65
472,liepaja,80,LV,1517975700,74,56.52,21.02,30.2,10.29
473,namibe,44,AO,1517977648,100,-15.19,12.15,73.2,8.41
474,sao filipe,92,CV,1517977140,97,14.9,-24.5,69.96,19.15
475,kirakira,20,SB,1517977648,100,-10.46,161.92,84.22,15.46
476,ornskoldsvik,80,SE,1517975400,92,63.29,18.72,8.6,4.7
477,nichlaul,92,IN,1517977649,89,27.32,83.73,58.44,2.59
478,thinadhoo,92,MV,1517977126,100,0.53,72.93,81.88,7.52
479,rizhao,0,CN,1517977649,55,35.43,119.46,34.81,16.24
480,narayangarh,80,IN,1517977650,84,24.28,75.06,60.73,10.42
481,luwuk,68,ID,1517977650,92,-0.95,122.79,82.78,1.48
482,wangqing,0,CN,1517977651,57,43.31,129.76,5.16,3.15
483,funza,75,CO,1517976000,87,4.72,-74.21,55.4,4.7
484,sambava,64,MG,1517977651,100,-14.27,50.17,78.06,2.93
485,ghanzi,92,BW,1517977652,98,-21.7,21.65,65.01,5.39
486,caravelas,92,BR,1517977266,100,-17.73,-39.27,80.4,20.15
487,nambucca heads,90,AU,1517974200,69,-30.64,152.99,75.2,11.41
488,tchollire,0,CM,1517977653,63,8.4,14.17,60.28,2.93
489,nelson bay,20,AU,1517976000,51,-32.72,152.14,80.6,18.34
490,havoysund,0,NO,1517975400,48,71.0,24.66,21.2,18.34
491,stykkisholmur,92,IS,1517977653,98,65.08,-22.73,33.46,33.13
492,half moon bay,20,US,1517975760,42,37.46,-122.43,66.2,7.63
493,saskylakh,0,RU,1517977170,0,71.97,114.09,-42.32,10.42
494,sacaseni,0,RO,1517976000,94,47.48,22.68,32.0,3.36
495,bayanday,0,RU,1517977654,57,53.07,105.52,-7.67,4.38
496,jambi,44,ID,1517977654,72,-1.6,103.62,84.0,5.5
497,chapleau,36,CA,1517977655,77,47.85,-83.4,-1.15,5.95
498,chagoda,64,RU,1517977655,78,59.16,35.33,12.81,9.75
499,savannah bight,44,HN,1517977655,97,16.45,-85.85,78.1,11.99
500,isiro,0,CD,1517977655,48,2.77,27.62,74.73,4.61
501,bend,1,US,1517975760,56,44.06,-121.32,41.0,3.36
502,beringovskiy,80,RU,1517977218,97,63.05,179.32,19.74,16.13
503,eydhafushi,92,MV,1517977656,100,5.1,73.07,80.62,7.07
504,muzhi,0,RU,1517977656,56,65.4,64.7,-10.73,11.1
505,nanortalik,80,GL,1517977182,97,60.14,-45.24,28.29,43.42
506,aden,0,YE,1517977656,100,12.79,45.03,74.95,14.79
507,barmer,0,IN,1517977657,61,25.74,71.4,52.5,3.04
508,banda aceh,24,ID,1517977171,69,5.56,95.32,83.32,5.17
509,maceio,20,BR,1517976000,94,-9.67,-35.74,75.2,5.82
510,vanimo,0,PG,1517977169,100,-2.67,141.3,84.63,15.46
511,bolitoc,76,PH,1517977657,98,15.74,119.88,72.97,1.03
512,bambanglipuro,48,ID,1517977658,92,-7.95,110.28,80.31,4.94
513,brazzaville,20,CD,1517976000,88,-4.27,15.27,78.8,3.36
514,burns lake,92,CA,1517977658,89,54.23,-125.76,10.78,2.71
515,maniwaki,0,CA,1517977659,73,46.38,-75.98,0.61,2.48
516,sobolevo,88,RU,1517977158,87,54.43,31.9,23.34,14.23
517,ponta delgada,75,PT,1517976000,58,37.73,-25.67,55.4,8.05
518,takanabe,20,JP,1517972400,30,32.13,131.49,42.8,16.11
519,tsabong,76,BW,1517977659,76,-26.02,22.4,69.96,9.64
520,shenkursk,64,RU,1517977659,80,62.11,42.91,6.73,4.94
521,khuzhir,0,RU,1517977660,81,53.19,107.35,-3.26,6.62
522,umm lajj,36,SA,1517977660,99,25.02,37.27,61.36,0.69
523,aguililla,8,MX,1517977661,72,18.74,-102.79,64.87,1.7
524,ushtobe,80,KZ,1517977661,91,45.25,77.98,15.91,4.61
